Year,Movie Title,Actors,Gender,Race
2002,The Lord of the Rings: The Two Towers, Sala Baker,Male,Not White
2003,The Lord of the Rings: The Return of the King,Noel Appleby,Male,White
2003,The Lord of the Rings: The Return of the King, Ali Astin,Female,White
2003,The Lord of the Rings: The Return of the King, Sean Astin,Male,White
2003,The Lord of the Rings: The Return of the King, David Aston,Male,White
2004,Shrek 2,Mike Myers,Male,White
2004,Shrek 2, Eddie Murphy,Male,Not White
2004,Shrek 2, Cameron Diaz,Female,White
2004,Shrek 2, Julie Andrews,Female,White
2005,Harry Potter and the Goblet of Fire, Daniel Radcliffe,Male,White
2005,Harry Potter and the Goblet of Fire,Rupert Grint,Male,White
2005,Harry Potter and the Goblet of Fire,Emma Watson,Female,White
2005,Harry Potter and the Goblet of Fire,Robert Pattinson,Male,White
2006,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp,Male,White
2006,Pirates of the Caribbean: Dead Man's Chest, Orlando Bloom,Male,White
2006,Pirates of the Caribbean: Dead Man's Chest, Keira Knightley,Female,White
2006,Pirates of the Caribbean: Dead Man's Chest, Jack Davenport,Male,White
2007,Pirates of the Caribbean: At World's End,Johnny Depp,Male,White
2007,Pirates of the Caribbean: At World's End, Geoffrey Rush,Male,White
2007,Pirates of the Caribbean: At World's End, Orlando Bloom,Male,White
2007,Pirates of the Caribbean: At World's End, Keira Knightley,Female,White
2008,The Dark Knight,Christian Bale,Male,White
2008,The Dark Knight, Heath Ledger,Male,White
2008,The Dark Knight, Aaron Eckhart,Male,White
2008,The Dark Knight, Michael Caine,Male,White
2009,Avatar,Sam Worthington,Male,White
2009,Avatar, Zoe Saldana,Female,Not White
2009,Avatar, Sigourney Weaver,Female,White
2009,Avatar, Stephen Lang,Male,White
2010,Toy Story 3,Tom Hanks,Male,White
2010,Toy Story 3, Tim Allen,Male,White
2010,Toy Story 3, Joan Cusack,Female,White
2010,Toy Story 3, Ned Beatty,Male,White
2011,Harry Potter and the Deathly Hallows: Part 2, Daniel Radcliffe,Male,White
2011,Harry Potter and the Deathly Hallows: Part 2,Rupert Grint,Male,White
