Year,Movie Title,Actor,Gender,Race
1983,Terms of Endearment,Shirley MacLaine,Female,White
1983,Terms of Endearment, Debra Winger,Female,White
1983,Terms of Endearment, Jack Nicholson,Male,White
1983,Terms of Endearment, Danny DeVito,Male,White
1984,Amadeus,F. Murray Abraham,Male,White
1984,Amadeus, Tom Hulce,Male,White
1984,Amadeus, Elizabeth Berridge,Female,White
1984,Amadeus, Roy Dotrice,Male,White
1985,Out of Africa,Meryl Streep,Female,White
1985,Out of Africa, Robert Redford,Male,White
1985,Out of Africa, Klaus Maria Brandauer,Male,White
1985,Out of Africa, Michael Kitchen,Male,White
1986,Platoon,Keith David,Male,Not White
1986,Platoon, Forest Whitaker,Male,Not White
1986,Platoon, Francesco Quinn,Male,White
1986,Platoon, Kevin Dillon,Male,White
1987,The Last Emperor,John Lone,Male,Not White
1987,The Last Emperor, Joan Chen,Female,Not White
1987,The Last Emperor, Peter O'Toole,Male,White
1987,The Last Emperor, Ruocheng Ying,Male,Not White
1988,Rain Man,Dustin Hoffman,Male,White
1988,Rain Man, Tom Cruise,Male,White
1988,Rain Man, Valeria Golino,Female,White
1988,Rain Man, Gerald R. Molen,Male,White
1989,Driving Miss Daisy,Morgan Freeman,Male,Not White
1989,Driving Miss Daisy, Jessica Tandy,Female,White
1989,Driving Miss Daisy, Dan Aykroyd,Male,White
1989,Driving Miss Daisy, Patti LuPone,Female,White
1990,Dances With Wolves,Kevin Costner,Male,White
1990,Dances With Wolves, Mary McDonnell,Female,White
1990,Dances With Wolves, Graham Greene,Male,Not White
1990,Dances With Wolves, Rodney A. Grant,Male,White
1991,The Silence of the Lambs,Jodie Foster,Female,White
1991,The Silence of the Lambs, Lawrence A. Bonney,Male,White
1991,The Silence of the Lambs, Kasi Lemmons,Female,Not White
1991,The Silence of the Lambs, Lawrence T. Wrentz,Male,White
1992,Unforgiven,Clint Eastwood,Male,White
1992,Unforgiven, Gene Hackman,Male,White
1992,Unforgiven, Morgan Freeman,Male,Not White
1992,Unforgiven, Richard Harris,Male,White
1993,Schindler's List,Liam Neeson,Male,White
1993,Schindler's List, Ben Kingsley,Male,Not White
1993,Schindler's List, Ralph Fiennes,Male,White
1993,Schindler's List, Caroline Goodall,Male,White
1994,Forrest Gump,Tom Hanks,Male,White
1994,Forrest Gump, Rebecca Williams,Female,Not White
1994,Forrest Gump, Sally Field,Female,White
1994,Forrest Gump, Michael Conner Humphreys,Male,White
1995,Braveheart,James Robinson,Male,White
1995,Braveheart, Sean Lawlor,Male,White
1995,Braveheart, Sandy Nelson,Male,White
1995,Braveheart, James Cosmo,Male,White
1996,The English Patient,Ralph Fiennes,Male,White
1996,The English Patient, Juliette Binoche,Female,White
1996,The English Patient, Willem Dafoe,Male,White
1996,The English Patient, Kristin Scott Thomas,Female,White
1997,Titanic,Leonardo DiCaprio,Male,White
1997,Titanic, Kate Winslet,Female,White
1997,Titanic, Billy Zane,Male,White
1997,Titanic, Kathy Bates,Female,White
1998,Shakespeare in Love,Geoffrey Rush,Male,White
1998,Shakespeare in Love, Tom Wilkinson,Male,White
1998,Shakespeare in Love, Steven O'Donnell,Male,White
1998,Shakespeare in Love, Tim McMullan,Male,White
1999,American Beauty,Kevin Spacey,Male,White
1999,American Beauty, Annette Bening,Female,White
1999,American Beauty, Thora Birch,Female,White
1999,American Beauty, Wes Bentley,Male,White
2000,Gladiator,Russell Crowe,Male,White
2000,Gladiator, Joaquin Phoenix,Male,White
2000,Gladiator, Connie Nielsen,Female,White
2000,Gladiator, Oliver Reed,Male,White
2001,A Beautiful Mind,Russell Crowe,Male,White
2001,A Beautiful Mind, Ed Harris,Male,White
2001,A Beautiful Mind, Jennifer Connelly,Female,White
2001,A Beautiful Mind, Christopher Plummer,Male,White
2002,Chicago,Taye Diggs,Male,Not White
2002,Chicago, Cliff Saunders,Male,White
2002,Chicago, Catherine Zeta-Jones,Female,White
2002,Chicago, Renée Zellweger,Female,White
2003,The Lord of the Rings: The Return of the King,Noel Appleby,Male,White
2003,The Lord of the Rings: The Return of the King, Ali Astin,Female,White
2003,The Lord of the Rings: The Return of the King, Sean Astin,Male,White
2003,The Lord of the Rings: The Return of the King, David Aston,Male,White
2004,Million Dollar Baby,Clint Eastwood,Male,White
2004,Million Dollar Baby, Hilary Swank,Female,White
2004,Million Dollar Baby, Morgan Freeman,Male,Not White
2004,Million Dollar Baby, Jay Baruchel,Male,White
2005,Crash,Karina Arroyave,Female,Not White
2005,Crash, Dato Bakhtadze,Male,Not White
2005,Crash, Sandra Bullock,Female,White
2005,Crash, Don Cheadle,Male,Not White
2006,The Departed,Leonardo DiCaprio,Male,White
2006,The Departed, Matt Damon,Male,White
2006,The Departed, Jack Nicholson,Male,White
2006,The Departed, Mark Wahlberg,Male,White
2007,No Country for Old Men,Tommy Lee Jones,Male,White
2007,No Country for Old Men, Javier Bardem,Male,Not White
2007,No Country for Old Men, Josh Brolin,Male,White
2007,No Country for Old Men, Woody Harrelson,Male,White
2008,Slumdog Millionaire,Dev Patel,Male,Not White
2008,Slumdog Millionaire, Saurabh Shukla,Male,Not White
2008,Slumdog Millionaire, Anil Kapoor,Male,Not White
2008,Slumdog Millionaire,Freida Pinto,Female,Not White
2009,The Hurt Locker,Jeremy Renner,Male,White
2009,The Hurt Locker, Anthony Mackie,Male,Not White
2009,The Hurt Locker, Brian Geraghty,Male,White
2009,The Hurt Locker, Guy Pearce,Male,White
2010,The King's Speech,Colin Firth,Male,White
2010,The King's Speech, Helena Bonham Carter,Female,White
2010,The King's Speech, Derek Jacobi,Male,White
2010,The King's Speech, Robert Portal,Male,White
2011,The Artist,Jean Dujardin,Male,White
2011,The Artist,Berenice Bejo,Female,Not White
2011,The Artist, John Goodman,Male,White
2011,The Artist, James Cromwell,Male,White
2012,Argo,Ben Affleck,Male,White
2012,Argo, Bryan Cranston,Male,White
2012,Argo, Alan Arkin,Male,White
2012,Argo, John Goodman,Male,White
2013,12 Years a Slave,Chiwetel Ejiofor,Male,Not White
2013,12 Years a Slave,Michael Kenneth Williams,Male,Not White
2013,12 Years a Slave,Brad Pitt,Male,White
2013,12 Years a Slave,Michael Fassbender,Male,White
2014,Birdman or (The Unexpected Virtue of Ignorance),Michael Keaton,Male,White
2014,Birdman or (The Unexpected Virtue of Ignorance), Emma Stone,Female,White
2014,Birdman or (The Unexpected Virtue of Ignorance), Kenny Chin,Male,Not White
2014,Birdman or (The Unexpected Virtue of Ignorance), Jamahl Garrison-Lowe,Male,White
2015,Spotlight,Mark Ruffalo,Male,White
2015,Spotlight, Michael Keaton,Male,White
2015,Spotlight, Rachel McAdams,Female,White
2015,Spotlight, Liev Schreiber,Male,White
2016,Moonlight,Mahershala Ali,Male,Not White
2016,Moonlight, Shariff Earp,Male,Not White
2016,Moonlight, Duan Sanderson,Male,Not White
2016,Moonlight, Alex R. Hibbert,Male,Not White
2017,The Shape of Water,Sally Hawkins,Female,White
2017,The Shape of Water, Michael Shannon,Male,White
2017,The Shape of Water, Richard Jenkins,Male,White
2017,The Shape of Water, Octavia Spencer,Female,Not White
2018,Green Book,Viggo Mortensen,Male,White
2018,Green Book, Mahershala Ali,Male,Not White
2018,Green Book, Linda Cardellini,Female,White
2018,Green Book, Sebastian Maniscalco,Male,White
2019,Parasite,Kang-ho Song,Male,Not White
2019,Parasite, Sun-kyun Lee,Male,Not White
2019,Parasite, Yeo-jeong Jo,Female,Not White
2019,Parasite, Woo-sik Choi,Male,Not White
