year,category,winner,entity
1934,ASSISTANT DIRECTOR,No,Cleopatra
1934,ASSISTANT DIRECTOR,No,Imitation of Life
1934,ASSISTANT DIRECTOR,Yes,Viva Villa!
1934,CINEMATOGRAPHY,No,The Affairs of Cellini
1934,CINEMATOGRAPHY,Yes,Cleopatra
1934,CINEMATOGRAPHY,No,Operator 13
1934,DIRECTING,Yes,It Happened One Night
1934,DIRECTING,No,One Night of Love
1934,DIRECTING,No,The Thin Man
1934,FILM EDITING,No,Cleopatra
1934,FILM EDITING,Yes,Eskimo
1934,FILM EDITING,No,One Night of Love
1934,MUSIC (Scoring),No,The Gay Divorcee
1934,MUSIC (Scoring),No,The Lost Patrol
1934,MUSIC (Scoring),Yes,One Night of Love
1934,MUSIC (Song),No,Flying Down to Rio
1934,MUSIC (Song),Yes,The Gay Divorcee
1934,MUSIC (Song),No,She Loves Me Not
1934,OUTSTANDING PRODUCTION,No,The Barretts of Wimpole Street
1934,OUTSTANDING PRODUCTION,No,Cleopatra
1934,OUTSTANDING PRODUCTION,No,Flirtation Walk
1934,OUTSTANDING PRODUCTION,No,The Gay Divorcee
1934,OUTSTANDING PRODUCTION,No,Here Comes the Navy
1934,OUTSTANDING PRODUCTION,No,The House of Rothschild
1934,OUTSTANDING PRODUCTION,No,Imitation of Life
1934,OUTSTANDING PRODUCTION,Yes,It Happened One Night
1934,OUTSTANDING PRODUCTION,No,One Night of Love
1934,OUTSTANDING PRODUCTION,No,The Thin Man
1934,OUTSTANDING PRODUCTION,No,Viva Villa!
1934,OUTSTANDING PRODUCTION,No,The White Parade
1934,SHORT SUBJECT (Cartoon),No,Holiday Land
1934,SHORT SUBJECT (Cartoon),No,Jolly Little Elves
1934,SHORT SUBJECT (Cartoon),Yes,The Tortoise and the Hare
1934,SHORT SUBJECT (Comedy),Yes,La Cucaracha
1934,SHORT SUBJECT (Comedy),No,Men in Black
1934,SHORT SUBJECT (Comedy),No,"What, No Men!"
1934,SHORT SUBJECT (Novelty),No,Bosom Friends
1934,SHORT SUBJECT (Novelty),Yes,City of Wax
1934,SHORT SUBJECT (Novelty),No,Strikes and Spares
1934,SOUND RECORDING,No,The Affairs of Cellini
1934,SOUND RECORDING,No,Cleopatra
1934,SOUND RECORDING,No,Flirtation Walk
1934,SOUND RECORDING,No,The Gay Divorcee
1934,SOUND RECORDING,No,Imitation of Life
1934,SOUND RECORDING,Yes,One Night of Love
1934,SOUND RECORDING,No,Viva Villa!
1934,SOUND RECORDING,No,The White Parade
1934,WRITING (Adaptation),Yes,It Happened One Night
1934,WRITING (Adaptation),No,The Thin Man
1934,WRITING (Adaptation),No,Viva Villa!
1934,WRITING (Original Story),No,Hide-Out
1934,WRITING (Original Story),Yes,Manhattan Melodrama
1934,WRITING (Original Story),No,The Richest Girl in the World
1934,SPECIAL AWARD,Yes,"To Shirley Temple, in grateful recognition of her outstanding contribution to screen entertainment during the year 1934."
1934,SCIENTIFIC OR TECHNICAL AWARD (Class II),Yes,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their development of the Vertical Cut Disc Method of recording sound for motion pictures (hill and dale recording)."
1934,SCIENTIFIC OR TECHNICAL AWARD (Class III),Yes,"To COLUMBIA PICTURES CORPORATION for their application of the Vertical Cut Disc Method (hill and dale recording) to actual studio production, with their recording of the sound on the picture One Night of Love ."
1934,SCIENTIFIC OR TECHNICAL AWARD (Class III),Yes,To BELL AND HOWELL COMPANY for their development of the Bell and Howell Fully Automatic Sound and Picture Printer.
1935,ACTOR,No,Clark Gable
1935,ACTOR,No,Charles Laughton
1935,ACTOR,Yes,Victor McLaglen
1935,ACTOR,No,Paul Muni
1935,ACTOR,No,Franchot Tone
1935,ACTRESS,No,Elisabeth Bergner
1935,ACTRESS,No,Claudette Colbert
1935,ACTRESS,Yes,Bette Davis
1935,ACTRESS,No,Katharine Hepburn
1935,ACTRESS,No,Miriam Hopkins
1935,ACTRESS,No,Merle Oberon
1935,ART DIRECTION,Yes,The Dark Angel
1935,ART DIRECTION,No,The Lives of a Bengal Lancer
1935,ART DIRECTION,No,Top Hat
1935,ASSISTANT DIRECTOR,No,David Copperfield
1935,ASSISTANT DIRECTOR,No,Les Miserables
1935,ASSISTANT DIRECTOR,Yes,The Lives of a Bengal Lancer
1935,ASSISTANT DIRECTOR,No,A Midsummer Night's Dream
1935,CINEMATOGRAPHY,No,Barbary Coast
1935,CINEMATOGRAPHY,No,The Crusades
1935,CINEMATOGRAPHY,No,Les Miserables
1935,CINEMATOGRAPHY,Yes,A Midsummer Night's Dream
1935,DANCE DIRECTION,No,Busby Berkeley
1935,DANCE DIRECTION,No,Bobby Connolly
1935,DANCE DIRECTION,Yes,Dave Gould
1935,DANCE DIRECTION,No,Sammy Lee
1935,DANCE DIRECTION,No,Hermes Pan
1935,DANCE DIRECTION,No,LeRoy Prinz
1935,DANCE DIRECTION,No,Benjamin Zemach
1935,DIRECTING,No,Captain Blood
1935,DIRECTING,Yes,The Informer
1935,DIRECTING,No,The Lives of a Bengal Lancer
1935,DIRECTING,No,Mutiny on the Bounty
1935,FILM EDITING,No,David Copperfield
1935,FILM EDITING,No,The Informer
1935,FILM EDITING,No,Les Miserables
1935,FILM EDITING,No,The Lives of a Bengal Lancer
1935,FILM EDITING,Yes,A Midsummer Night's Dream
1935,FILM EDITING,No,Mutiny on the Bounty
1935,MUSIC (Scoring),No,Captain Blood
1935,MUSIC (Scoring),Yes,The Informer
1935,MUSIC (Scoring),No,Mutiny on the Bounty
1935,MUSIC (Scoring),No,Peter Ibbetson
1935,MUSIC (Song),No,Top Hat
1935,MUSIC (Song),No,Roberta
1935,MUSIC (Song),Yes,Gold Diggers of 1935
1935,OUTSTANDING PRODUCTION,No,Alice Adams
1935,OUTSTANDING PRODUCTION,No,Broadway Melody of 1936
1935,OUTSTANDING PRODUCTION,No,Captain Blood
1935,OUTSTANDING PRODUCTION,No,David Copperfield
1935,OUTSTANDING PRODUCTION,No,The Informer
1935,OUTSTANDING PRODUCTION,No,Les Miserables
1935,OUTSTANDING PRODUCTION,No,The Lives of a Bengal Lancer
1935,OUTSTANDING PRODUCTION,No,A Midsummer Night's Dream
1935,OUTSTANDING PRODUCTION,Yes,Mutiny on the Bounty
1935,OUTSTANDING PRODUCTION,No,Naughty Marietta
1935,OUTSTANDING PRODUCTION,No,Ruggles of Red Gap
1935,OUTSTANDING PRODUCTION,No,Top Hat
1935,SHORT SUBJECT (Cartoon),No,The Calico Dragon
1935,SHORT SUBJECT (Cartoon),Yes,Three Orphan Kittens
1935,SHORT SUBJECT (Cartoon),No,Who Killed Cock Robin?
1935,SHORT SUBJECT (Comedy),Yes,How to Sleep
1935,SHORT SUBJECT (Comedy),No,"Oh, My Nerves"
1935,SHORT SUBJECT (Comedy),No,Tit for Tat
1935,SHORT SUBJECT (Novelty),No,Audioscopiks
1935,SHORT SUBJECT (Novelty),No,Camera Thrills
1935,SHORT SUBJECT (Novelty),Yes,Wings over Mt. Everest
1935,SOUND RECORDING,No,Bride of Frankenstein
1935,SOUND RECORDING,No,Captain Blood
1935,SOUND RECORDING,No,The Dark Angel
1935,SOUND RECORDING,No,I Dream Too Much
1935,SOUND RECORDING,No,The Lives of a Bengal Lancer
1935,SOUND RECORDING,No,Love Me Forever
1935,SOUND RECORDING,Yes,Naughty Marietta
1935,SOUND RECORDING,No,"$1,000 a Minute"
1935,SOUND RECORDING,No,Thanks a Million
1935,WRITING (Original Story),No,Broadway Melody of 1936
1935,WRITING (Original Story),No,G-Men
1935,WRITING (Original Story),No,The Gay Deception
1935,WRITING (Original Story),Yes,The Scoundrel
1935,WRITING (Screenplay),No,Captain Blood
1935,WRITING (Screenplay),Yes,The Informer
1935,WRITING (Screenplay),No,The Lives of a Bengal Lancer
1935,WRITING (Screenplay),No,Mutiny on the Bounty
1935,SPECIAL AWARD,Yes,"To David Wark Griffith, for his distinguished creative achievements as director and producer and his invaluable initiative and lasting contributions to the progress of the motion picture arts."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class II),Yes,To AGFA ANSCO CORPORATION for their development of the Agfa infra-red film.
1935,SCIENTIFIC OR TECHNICAL AWARD (Class II),Yes,To EASTMAN KODAK COMPANY for their development of the Eastman Pola-Screen.
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),Yes,"To METRO-GOLDWYN-MAYER STUDIO for the development of anti-directional negative and positive development by means of jet turbulation, and the application of the method to all negative and print processing of the entire product of a major producing company."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),Yes,"To WILLIAM A. MUELLER of Warner Bros.-First National Studio Sound Department for his method of dubbing, in which the level of the dialogue automatically controls the level of the accompanying music and sound effects."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),Yes,"To MOLE-RICHARDSON COMPANY for their development of the ""Solar-spot"" spot lamps."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),Yes,To DOUGLAS SHEARER and METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for their automatic control system for cameras and sound recording machines and auxiliary stage equipment.
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),Yes,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their study and development of equipment to analyze and measure flutter resulting from the travel of the film through the mechanisms used in the recording and reproduction of sound."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),Yes,"To PARAMOUNT PRODUCTIONS, INC. for the design and construction of the Paramount transparency air turbine developing machine."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),Yes,"To NATHAN LEVINSON, Director of Sound Recording for Warner Bros.-First National Studio, for the method of intercutting variable density and variable area sound tracks to secure an increase in the effective volume range of sound recorded for motion pictures."
1936,ACTOR,No,Gary Cooper
1936,ACTOR,No,Walter Huston
1936,ACTOR,Yes,Paul Muni
1936,ACTOR,No,William Powell
1936,ACTOR,No,Spencer Tracy
1936,ACTOR IN A SUPPORTING ROLE,No,Mischa Auer
1936,ACTOR IN A SUPPORTING ROLE,Yes,Walter Brennan
1936,ACTOR IN A SUPPORTING ROLE,No,Stuart Erwin
1936,ACTOR IN A SUPPORTING ROLE,No,Basil Rathbone
1936,ACTOR IN A SUPPORTING ROLE,No,Akim Tamiroff
1936,ACTRESS,No,Irene Dunne
1936,ACTRESS,No,Gladys George
1936,ACTRESS,No,Carole Lombard
1936,ACTRESS,Yes,Luise Rainer
1936,ACTRESS,No,Norma Shearer
1936,ACTRESS IN A SUPPORTING ROLE,No,Beulah Bondi
1936,ACTRESS IN A SUPPORTING ROLE,No,Alice Brady
1936,ACTRESS IN A SUPPORTING ROLE,No,Bonita Granville
