Award,Year,Movie Title,Movie Genre,Runtime,Actors,IMDB Rating,Rotten Tomatoes Rating
BEST PICTURE,1974,The Godfather Part II,"Crime, Drama",202 min,"Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro",9.0/10,98%
BEST PICTURE,1975,One Flew over the Cuckoo's Nest,Drama,133 min,"Jack Nicholson, Louise Fletcher, Will Sampson, Michael Berryman",8.7/10,94%
BEST PICTURE,1976,Rocky,"Drama, Sport",120 min,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers",8.1/10,94%
BEST PICTURE,1977,Annie Hall,"Comedy, Romance",93 min,"Woody Allen, Diane Keaton, Tony Roberts, Carol Kane",8.0/10,98%
BEST PICTURE,1978,The Deer Hunter,"Drama, War",183 min,"Robert De Niro, John Cazale, John Savage, Christopher Walken",8.1/10,93%
BEST PICTURE,1979,Kramer vs. Kramer,Drama,105 min,"Dustin Hoffman, Meryl Streep, Jane Alexander, Justin Henry",7.8/10,88%
BEST PICTURE,1980,Ordinary People,Drama,124 min,"Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton",7.7/10,89%
BEST PICTURE,1981,Chariots of Fire,"Biography, Drama, Sport",125 min,"Nicholas Farrell, Nigel Havers, Ian Charleson, Ben Cross",7.2/10,85%
BEST PICTURE,1982,Gandhi,"Biography, Drama, History",191 min,"Ben Kingsley, Rohini Hattangadi, Roshan Seth, Candice Bergen",8.0/10,85%
BEST PICTURE,1983,Terms of Endearment,"Comedy, Drama",132 min,"Shirley MacLaine, Debra Winger, Jack Nicholson, Danny DeVito",7.4/10,77%
BEST PICTURE,1984,Amadeus,"Biography, Drama, History, Music",160 min,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice",8.3/10,93%
BEST PICTURE,1985,Out of Africa,"Biography, Drama, Romance",161 min,"Meryl Streep, Robert Redford, Klaus Maria Brandauer, Michael Kitchen",7.2/10,58%
BEST PICTURE,1986,Platoon,"Drama, War",120 min,"Keith David, Forest Whitaker, Francesco Quinn, Kevin Dillon",8.1/10,88%
BEST PICTURE,1987,The Last Emperor,"Biography, Drama, History",163 min,"John Lone, Joan Chen, Peter O'Toole, Ruocheng Ying",7.7/10,90%
BEST PICTURE,1988,Rain Man,Drama,133 min,"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen",8.0/10,89%
BEST PICTURE,1989,Driving Miss Daisy,Drama,99 min,"Morgan Freeman, Jessica Tandy, Dan Aykroyd, Patti LuPone",7.4/10,81%
BEST PICTURE,1990,Dances With Wolves,"Adventure, Drama, Western",181 min,"Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant",8.0/10,83%
BEST PICTURE,1991,The Silence of the Lambs,"Crime, Drama, Thriller",118 min,"Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz",8.6/10,96%
BEST PICTURE,1992,Unforgiven,"Drama, Western",130 min,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris",8.2/10,96%
BEST PICTURE,1993,Schindler's List,"Biography, Drama, History",195 min,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall",8.9/10,97%
BEST PICTURE,1994,Forrest Gump,"Drama, Romance",142 min,"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys",8.8/10,71%
BEST PICTURE,1995,Braveheart,"Biography, Drama, History, War",178 min,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo",8.3/10,78%
BEST PICTURE,1996,The English Patient,"Drama, Romance, War",162 min,"Ralph Fiennes, Juliette Binoche, Willem Dafoe, Kristin Scott Thomas",7.4/10,85%
BEST PICTURE,1997,Titanic,"Drama, Romance",194 min,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates",7.8/10,89%
BEST PICTURE,1998,Shakespeare in Love,"Comedy, Drama, History, Romance",123 min,"Geoffrey Rush, Tom Wilkinson, Steven O'Donnell, Tim McMullan",7.1/10,92%
BEST PICTURE,1999,American Beauty,Drama,122 min,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",8.3/10,87%
BEST PICTURE,2000,Gladiator,"Action, Adventure, Drama",155 min,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",8.5/10,77%
BEST PICTURE,2001,A Beautiful Mind,"Biography, Drama",135 min,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer",8.2/10,74%
BEST PICTURE,2002,Chicago,"Comedy, Crime, Musical",113 min,"Taye Diggs, Cliff Saunders, Catherine Zeta-Jones, Renée Zellweger",7.1/10,86%
BEST PICTURE,2003,The Lord of the Rings: The Return of the King,"Adventure, Drama, Fantasy",201 min,"Noel Appleby, Ali Astin, Sean Astin, David Aston",8.9/10,93%
BEST PICTURE,2004,Million Dollar Baby,"Drama, Sport",132 min,"Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel",8.1/10,91%
BEST PICTURE,2005,Crash,"Crime, Drama, Thriller",112 min,"Karina Arroyave, Dato Bakhtadze, Sandra Bullock, Don Cheadle",7.8/10,74%
BEST PICTURE,2006,The Departed,"Crime, Drama, Thriller",151 min,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",8.5/10,91%
BEST PICTURE,2007,No Country for Old Men,"Crime, Drama, Thriller",122 min,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",8.1/10,93%
BEST PICTURE,2008,Slumdog Millionaire,"Drama, Romance",120 min,"Dev Patel, Saurabh Shukla, Anil Kapoor, Raj Zutshi",8.0/10,91%
BEST PICTURE,2009,The Hurt Locker,"Drama, Thriller, War",131 min,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce",7.6/10,97%
BEST PICTURE,2010,The King's Speech,"Biography, Drama, History",118 min,"Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal",8.0/10,94%
BEST PICTURE,2011,The Artist,"Comedy, Drama, Romance",100 min,"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell",7.9/10,95%
BEST PICTURE,2012,Argo,"Biography, Drama, Thriller",120 min,"Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman",7.7/10,96%
BEST PICTURE,2013,12 Years a Slave,"Biography, Drama, History",134 min,"Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt",8.1/10,95%
BEST PICTURE,2014,Birdman or (The Unexpected Virtue of Ignorance),"Comedy, Drama",119 min,"Michael Keaton, Emma Stone, Kenny Chin, Jamahl Garrison-Lowe",7.7/10,91%
BEST PICTURE,2015,Spotlight,"Biography, Crime, Drama",129 min,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber",8.1/10,97%
BEST PICTURE,2016,Moonlight,Drama,111 min,"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert",7.4/10,98%
BEST PICTURE,2017,The Shape of Water,"Adventure, Drama, Fantasy, Romance, Thriller",123 min,"Sally Hawkins, Michael Shannon, Richard Jenkins, Octavia Spencer",7.3/10,92%
BEST PICTURE,2018,Green Book,"Biography, Comedy, Drama, Music",130 min,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco",8.2/10,78%
BEST PICTURE,2019,Parasite,"Comedy, Drama, Thriller",132 min,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo, Woo-sik Choi",8.6/10,99%
